rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
292,Comcast (Xfinity),"Little Miami Gig, LLC","Little Miami Gig, LLC",1080,0.003,8182,13.2,1080,0
293,Comcast (Xfinity),"Hub66, Inc.","Hub66, Inc.",1035,0.003,5468,18.928,1035,0
294,Comcast (Xfinity),AIRCELL Inc.,AIRCELL Inc.,1022,0.003,1980,51.616,1022,0
295,Comcast (Xfinity),"Precision Data Solutions, LLC","Precision Data Solutions, LLC",994,0.003,1189,83.6,994,0
296,Comcast (Xfinity),"Public Utility District #1 of Kitsap County, Washington","Public Utility District #1 of Kitsap County, Washington",985,0.003,2672,36.864,985,0
297,Comcast (Xfinity),"Ponderosa Communications, Inc.","Ponderosa Communications, Inc.",982,0.003,4186,23.459,982,0
298,Comcast (Xfinity),"Digital Connections, Inc.","Digital Connections, Inc.",906,0.002,10658,8.501,906,0
299,Comcast (Xfinity),"Mainstream Fiber Networks, LLC","Mainstream Fiber Networks, LLC",879,0.002,35863,2.451,879,0
300,Comcast (Xfinity),"Townes Telecommunications, Inc.","Townes Telecommunications, Inc.",877,0.002,10566,8.3,877,0
301,Comcast (Xfinity),"WEHCO Video, Inc.","WEHCO Video, Inc.",866,0.002,172012,0.503,0,866
302,Comcast (Xfinity),Brazoria Telephone Company,Brazoria Telephone Company,860,0.002,8160,10.539,294,567
303,Comcast (Xfinity),"Carbon Valley Internet, LLC","Carbon Valley Internet, LLC",856,0.002,856,100.0,856,0
304,Comcast (Xfinity),"Alyrica Networks, Inc.","Alyrica Networks, Inc.",856,0.002,2098,40.801,856,0
305,Comcast (Xfinity),"City of Taunton, Massachusetts","City of Taunton, Massachusetts",855,0.002,863,99.073,855,0
306,Comcast (Xfinity),American Heartland Fiber Networks LLC,American Heartland Fiber Networks LLC,847,0.002,5602,15.12,847,0
307,Comcast (Xfinity),Sail Internet Holdings LLC,Sail Internet Holdings LLC,812,0.002,814,99.754,812,0
308,Comcast (Xfinity),Satellite Operations Inc.,Satellite Operations Inc.,801,0.002,2416,33.154,801,0
309,Comcast (Xfinity),Christensen Communications Company,Christensen Communications Company,792,0.002,1484,53.369,792,0
310,Comcast (Xfinity),Glenwood Telephone Company,Glenwood Telephone Company,735,0.002,2364,31.091,735,0
311,Comcast (Xfinity),Pennsylvania Telephone Company,Pennsylvania Telephone Company,733,0.002,917,79.935,733,0
